seed,coherence,beta,gamma,model_matched,exact_expected_l0,mf_expected_l0,exact_negative_log_evidence,exact_count_variance,exact_entropy,exact_pair_covariance,mf_reverse_kl,mf_marginal_mse,converged_fraction,max_residual,response_identity_max_error,free_energy_identity_max_error,orthogonal_marginal_max_error,exact_brier,exact_marginal_nll,exact_support_f1,mf_brier,mf_marginal_nll,mf_support_f1
2403,0.0,2.0,-2.0,False,4.59271666892495,4.5927166689249495,7.7780316137875225,0.9434637396459814,2.8692357040183847,-5.421010862427522e-18,-4.510281037539698e-16,9.464741970448022e-32,1.0,2.220446049250313e-16,8.49468051455915e-10,3.0101789116887545e-15,9.992007221626409e-16,,,,,,
2403,0.0,2.0,0.0,False,2.3115209088620476,2.3115209088620476,6.140192333093589,1.1210566398303463,3.336605343806891,-7.779150587583494e-18,2.3592239273284576e-16,2.727460359067926e-32,1.0,1.1102230246251565e-16,9.20504561463531e-10,2.4515979524242226e-15,7.771561172376096e-16,,,,,,
2403,0.0,2.0,1.0986122886681098,False,1.2483155089407556,1.2483155089407558,5.629565125138807,0.7945118456979149,2.5270852050958816,8.1349044254303e-18,2.2898349882893854e-16,1.601960566649011e-32,1.0,1.1102230246251565e-16,7.940279544982332e-10,1.9497478718349948e-15,7.771561172376096e-16,,,,,,
2403,0.0,2.0,2.0,False,0.6653576985758309,0.6653576985758309,5.50781285529819,0.5045937867334489,1.7332763683118666,1.2366681029912785e-18,-3.5388358909926865e-16,7.737648462828178e-33,1.0,1.1102230246251565e-16,4.2583270243312654e-10,2.3422663277244266e-15,5.551115123125783e-16,,,,,,
2403,0.0,2.0,4.0,False,0.11819683582512708,0.118196835825127,5.507831034834605,0.11132811850722346,0.5037079646364799,-1.2132423480437768e-19,-2.0816681711721685e-17,2.3359253537754286e-33,1.0,4.163336342344337e-17,2.886203498420059e-10,2.3805490008620993e-15,3.469446951953614e-16,,,,,,
2403,0.0,8.0,-2.0,False,2.544799299695713,2.544799299695713,9.424183987717598,0.47738351521601535,1.5449556176446604,4.301921520426981e-18,1.9081958235744878e-16,8.169048816407717e-32,1.0,2.220446049250313e-16,6.007967456866936e-10,4.473495048277821e-15,1.2212453270876722e-15,,,,,,
2403,0.0,8.0,0.0,False,1.747125985133104,1.7471259851331042,5.0628608775525965,0.3273859646466797,1.1022613450981984,-1.4928213300757277e-18,8.673617379884035e-17,2.939171439938866e-32,1.0,1.1102230246251565e-16,3.8614000885672795e-10,1.7771619771349356e-15,8.881784197001252e-16,,,,,,
2403,0.0,8.0,1.0986122886681098,True,1.4209016597861066,1.4209016597861068,4.364500834223339,0.269914110555552,0.9177564281971786,2.6019974862913706e-17,2.445960101127298e-16,2.245095808645282e-32,1.0,8.326672684688674e-17,3.1444358228327474e-10,1.8072927227808906e-15,9.992007221626409e-16,0.04292756259625075,0.14393953960484382,0.8670520186424255,0.042927562596250766,0.14393953960484382,0.8670520186424255
2403,0.0,8.0,2.0,False,1.192719036420578,1.192719036420578,4.575812385727154,0.23873533902934563,0.8097979774377363,7.015347367723323e-18,-1.5785983631388945e-16,2.5806805906557224e-32,1.0,4.163336342344337e-17,4.6356429805882726e-10,2.195324746100645e-15,9.992007221626409e-16,,,,,,
2403,0.0,8.0,4.0,False,0.7561590243530079,0.7561590243530077,5.86013027505938,0.20209001210154692,0.6625988153269933,9.153185526995352e-18,3.509020331249335e-16,3.0927911060507245e-32,1.0,2.220446049250313e-16,4.965610145291066e-10,3.7542753199025126e-15,1.1102230246251565e-15,,,,,,
