seed,coherence,beta,gamma,model_matched,exact_expected_l0,mf_expected_l0,exact_negative_log_evidence,exact_count_variance,exact_entropy,exact_pair_covariance,mf_reverse_kl,mf_marginal_mse,converged_fraction,max_residual,response_identity_max_error,free_energy_identity_max_error,orthogonal_marginal_max_error,exact_brier,exact_marginal_nll,exact_support_f1,mf_brier,mf_marginal_nll,mf_support_f1
2402,0.0,2.0,1.0986122886681098,False,1.3171786861668202,1.3171786861668202,5.754442844863545,0.8205248927518471,2.587490472997631,7.32514092785519e-18,1.6653345369377348e-16,1.5420542398795054e-32,1.0,2.220446049250313e-16,7.395648538022215e-10,2.153442354990709e-15,6.661338147750939e-16,,,,,,
2402,0.0,2.0,2.0,False,0.7095314432491251,0.7095314432491251,5.683655437470817,0.531070172368347,1.8027884781449748,-5.908054807098745e-20,-3.8163916471489756e-16,8.250019022150093e-33,1.0,2.220446049250313e-16,3.9000602747307767e-10,2.990812350382732e-15,6.661338147750939e-16,,,,,,
2402,0.0,2.0,4.0,False,0.12753594628651163,0.12753594628651155,5.73085529555765,0.11980262808419284,0.5347543398073473,2.922263668027336e-20,4.85722573273506e-17,2.1491645561912105e-33,1.0,5.551115123125783e-17,2.682177813184694e-10,1.9550942865158065e-15,3.3306690738754696e-16,,,,,,
2402,0.0,8.0,-2.0,False,2.7270114361603843,2.7270114361603843,9.291438502494971,0.4744465668192991,1.5337184087437397,-4.3055760043732405e-18,3.469446951953614e-17,8.136372886622434e-32,1.0,2.220446049250313e-16,4.38294733839939e-10,4.130771923790171e-15,1.1102230246251565e-15,,,,,,
2402,0.0,8.0,0.0,False,1.913061387153399,1.9130613871533992,5.285819776129639,0.34674149382549707,1.1582721939550034,-6.054049057437663e-18,1.5265566588595902e-16,3.2644344494590934e-32,1.0,1.1102230246251565e-16,5.139924041941413e-10,2.2006163528280448e-15,9.992007221626409e-16,,,,,,
2402,0.0,8.0,1.0986122886681098,True,1.5605655059365149,1.5605655059365149,4.756112322895169,0.29693302512339287,0.9946890615014359,7.958469498803253e-18,1.8908485888147197e-16,2.436709288574476e-32,1.0,9.71445146547012e-17,4.3781867020697973e-10,2.3124887618246842e-15,1.2212453270876722e-15,0.04818021964087236,0.16416196049731638,0.8759493827819824,0.04818021964087235,0.16416196049731643,0.8759493827819824
2402,0.0,8.0,2.0,False,1.308188592519917,1.308188592519917,5.082305628838944,0.2642739008968775,0.8859768963163805,-5.908452889384123e-18,-2.5587171270657905e-16,3.0100497013785463e-32,1.0,9.71445146547012e-17,3.609077481314671e-10,2.5512060294742887e-15,1.2212453270876722e-15,,,,,,
2402,0.0,8.0,4.0,False,0.832406949450198,0.832406949450198,6.554351609831826,0.2161091077515927,0.7129511799956045,1.680669533084607e-18,3.668940151690947e-16,3.576585959074346e-32,1.0,2.7755575615628914e-16,4.5486725497312364e-10,3.6401489984043955e-15,1.2212453270876722e-15,,,,,,
2402,0.0,32.0,-2.0,False,2.0097447229046908,2.009744722904691,13.535871871046611,0.07995666325187246,0.26996219429686935,2.016892653602087e-17,7.28583859910259e-16,1.514613684886436e-31,1.0,4.440892098500626e-16,3.1304203673698794e-10,6.711197897370602e-15,2.9976021664879227e-15,,,,,,
2402,0.0,32.0,0.0,False,1.845482938482598,1.8454829384825977,8.790045612563524,0.08449145565771526,0.2753632843414401,-1.304044590078201e-18,3.43908929112402e-16,8.981065579740921e-32,1.0,3.3306690738754696e-16,5.233120603520547e-10,7.55788355320372e-15,2.55351295663786e-15,,,,,,
2402,0.0,32.0,1.0986122886681098,False,1.7521663570133388,1.752166357013339,8.333496350835798,0.0847549830944132,0.27404693046987016,1.4740215897397425e-17,1.1750041044311654e-16,8.890921928828951e-32,1.0,5.273559366969494e-16,3.8747494102153723e-10,9.086422698375672e-15,2.1094237467877974e-15,,,,,,
2402,0.0,32.0,2.0,False,1.6768840755983363,1.6768840755983363,8.914223745684021,0.08181063047061549,0.2656497065301062,1.6658938082687654e-17,3.843496701461113e-17,9.446758881713055e-32,1.0,1.942890293094024e-16,2.8767177528976617e-10,4.3424312681695954e-15,1.7763568394002505e-15,,,,,,
2402,0.0,32.0,4.0,False,1.5243888837005817,1.5243888837005812,11.459121798389354,0.07125505063538264,0.2371525071852173,9.158539834017052e-19,7.246807320893112e-16,1.1304439595546858e-31,1.0,1.9081958235744878e-17,3.6572878059359937e-10,5.9176467467463945e-15,1.887379141862766e-15,,,,,,
2402,0.7,2.0,-2.0,False,4.425239994643609,4.4351961598089495,7.9166418746070715,0.8796877243277985,2.9194724387103834,-0.04868675610368216,0.03480774538715414,4.2282994141320954e-05,1.0,9.854284055421658e-10,5.840323780148537e-10,3.157196726277789e-15,,,,,,,
2402,0.7,2.0,0.0,False,2.3477422720947088,2.338677776352252,6.142566390576125,1.0389673727701105,3.328655259360662,-0.047407509758526416,0.03389937099325718,5.544481649019456e-05,1.0,9.86815185122225e-10,7.380656086297677e-10,2.4494295480792516e-15,,,,,,,
2402,0.7,2.0,1.0986122886681098,False,1.3364063466047287,1.3241529088120363,5.70717349297907,0.7805539566605728,2.6158959575900065,-0.029990630184907864,0.021603583191953823,3.425050646825792e-05,1.0,9.27240562109688e-10,5.068114816708658e-10,2.0816681711721685e-15,,,,,,,
2402,0.7,2.0,2.0,False,0.7477711449701997,0.7378653634579461,5.664722011774876,0.5267767967795233,1.8652033623666218,-0.015427462116922844,0.011310815255708422,1.9361317022965344e-05,1.0,9.83865322545796e-10,3.244852719852531e-10,2.244298497044994e-15,,,,,,,
2402,0.7,2.0,4.0,False,0.14462343690049123,0.14312130984120525,5.772257746781603,0.13239671403271047,0.5868974704245755,-0.0012141248296806538,0.0009619382491323075,9.280313494724588e-07,1.0,8.907743874117524e-10,2.486102712584426e-10,2.233022794451145e-15,,,,,,,
2402,0.7,8.0,-2.0,False,2.6393163531997135,2.6334553961895297,9.363272118393393,0.4407414185245123,1.5750804091275874,-0.03484580931951577,0.06278673857557385,0.0026861289161137854,1.0,9.013095686460915e-10,4.2888270712637677e-10,2.5292268279741847e-15,,,,,,,
2402,0.7,8.0,0.0,False,1.8799339048728743,1.8751022959929577,5.240617712945366,0.32456425179548853,1.2156707546270478,-0.029854036073694565,0.0526645629267271,0.0020149508681856776,1.0,9.967535685717621e-10,4.76493511314402e-10,1.867429821889033e-15,,,,,,,
2402,0.7,8.0,1.0986122886681098,True,1.5495419931857455,1.5445194477866455,4.687055370586157,0.2787282057840735,1.054049546453842,-0.027517378373367644,0.047275788074306345,0.0017654220325452592,1.0,9.801994771407863e-10,4.296802913472675e-10,1.6367115995841175e-15,,0.055406810322783856,0.1865397272904262,0.8600509166717529,0.05818109962415504,0.20065111209672204,0.8600509166717529
2402,0.7,8.0,2.0,False,1.3122825359015655,1.307315673575375,5.010315345543147,0.24886521028864902,0.9445088812805751,-0.02573202176590384,0.042760572327040176,0.001690130561461614,1.0,9.883310576191962e-10,3.415974170195568e-10,3.0725857581436096e-15,,,,,,,
2402,0.7,8.0,4.0,False,0.8628801823159381,0.8580578286099223,6.518229023927641,0.20474531972815926,0.7615662002316838,-0.01966494657170309,0.03311394115260951,0.0013284893283781905,1.0,9.81665505828122e-10,2.859099623719885e-10,4.24313362223927e-15,,,,,,,
2402,0.7,32.0,-2.0,False,1.9684519925060942,1.9678693119993038,13.532377683457522,0.07771708221523063,0.28289636564975007,-0.006296043676623822,0.009456685313380803,0.0004884682187221391,1.0,2.001369048854218e-10,1.9687362851072976e-10,9.22120893369089e-15,,,,,,,
2402,0.7,32.0,0.0,False,1.8107043548534345,1.8105116182647762,8.7091979232545,0.0789459780818843,0.280958823628333,-0.005792372595484809,0.008636421072055107,0.00045299263995924823,1.0,8.874576629125386e-10,3.0731328592992213e-10,5.824427467122116e-15,,,,,,,
2402,0.7,32.0,1.0986122886681098,False,1.7244014711217213,1.724308456816645,8.218169751601915,0.07799825050859552,0.2768478396453056,-0.005734401868725754,0.008510262726579853,0.00042563376221153073,1.0,9.97068692366876e-10,2.11365147606557e-10,6.075309932863579e-15,,,,,,,
2402,0.7,32.0,2.0,False,1.6548663866837048,1.6545738403983403,8.776529533451813,0.07605210823032942,0.27008043471149296,-0.005565152839984544,0.008352758395572007,0.00038685481470717846,1.0,9.515589427522286e-10,2.7148217007777475e-10,1.2995215899192208e-14,,,,,,,
2402,0.7,32.0,4.0,False,1.5109984289994747,1.5102964953695197,11.286753145195869,0.0675884291888622,0.2440991715629347,-0.004755318591534848,0.007213879399163978,0.0003035297295060989,1.0,4.842568290808202e-10,2.0264456779273132e-10,1.1505542654746096e-14,,,,,,,
2402,0.95,2.0,-2.0,False,4.365430759226012,4.378271477431867,7.947591903960722,0.8598275297989917,2.9394728751662464,-0.06879748021606458,0.06811297527985558,0.00010261442093513955,1.0,9.998629146856786e-10,5.536620051316277e-10,3.1086244689504383e-15,,,,,,,
2402,0.95,2.0,0.0,False,2.3376876801817073,2.3225591653722404,6.101717706102831,1.013572447049381,3.3187507790325084,-0.06336749501612864,0.06295759341770708,0.00011069657444756581,1.0,9.822179736218573e-10,7.596980822199839e-10,2.123301534595612e-15,,,,,,,
2402,0.95,2.0,1.0986122886681098,False,1.3493050181407775,1.3279971023422819,5.668959211966751,0.7656851033423145,2.620063774950099,-0.04214752491816708,0.04210017002441557,8.041398066731874e-05,1.0,9.99038241022987e-10,5.376117329092267e-10,2.192690473634684e-15,,,,,,,
2402,0.95,2.0,2.0,False,0.7686578143821883,0.750311564019615,5.64254492533732,0.5237614628966408,1.8869583638641874,-0.023420334570527536,0.02368900946038348,5.8193535745032345e-05,1.0,9.832856334712758e-10,3.5212632809589195e-10,2.213507155346406e-15,,,,,,,
2402,0.95,2.0,4.0,False,0.15664280633960131,0.15288835106114373,5.786335971904872,0.13955911490135472,0.6159321217679036,-0.0025103257397217815,0.002711999752443444,6.01100763655439e-06,1.0,9.602898988145259e-10,2.487189343369778e-10,2.243864816176e-15,,,,,,,
2402,0.95,8.0,-2.0,False,2.6010400596697503,2.595287724751324,9.30163274348924,0.42827294231687724,1.6688453691831644,-0.07771302339961332,0.1711070327695256,0.011196635777478094,1.0,3.4852795968709493e-08,4.2372860775685695e-10,2.831068712794149e-15,,,,,,,
2402,0.95,8.0,0.0,False,1.8718993084109252,1.8667691809922713,5.131569550283153,0.3089654939021661,1.3005130683705723,-0.07564165350084921,0.16144055158733162,0.01184236644394325,1.0,9.892250976695216e-10,5.438449690586822e-10,2.1371793224034263e-15,,,,,,,
2402,0.95,8.0,1.0986122886681098,True,1.5563683644777528,1.5476506286723009,4.577841541336488,0.26799368194993245,1.147454037489886,-0.07195374057388018,0.15403686643050318,0.011329976773421247,1.0,9.69131885852903e-10,4.3922110393168623e-10,1.6653345369377348e-15,,0.06962285052355612,0.22549432178263587,0.8261964917182922,0.07584437848655318,0.28607496281639744,0.8151898980140686
2402,0.95,8.0,2.0,False,1.3264823455032213,1.3137881350664635,4.910909134526643,0.24296557287423745,1.0443452693999211,-0.06729109678066214,0.1443426277452922,0.010536430554307289,1.0,9.757966934476059e-10,3.365110412545391e-10,2.275957200481571e-15,,,,,,,
2402,0.95,8.0,4.0,False,0.8836500029516385,0.863140688068627,6.455217212552839,0.20348750430238619,0.8526197637271908,-0.04971674339727646,0.11118650415528016,0.0073157345865320356,1.0,9.917277971061011e-10,3.473252796482029e-10,2.9698465908722937e-15,,,,,,,
2402,0.95,32.0,-2.0,False,1.9507456741910691,1.9507100784332465,13.40883452472176,0.07066210646774998,0.3520233546533258,-0.03375580926390262,0.05414565167035454,0.003810592953643816,1.0,9.007923296167064e-10,2.0449686388701593e-10,1.1778972202132326e-14,,,,,,,
2402,0.95,32.0,0.0,False,1.8072943218978628,1.8083375394503425,8.565079481493324,0.07329249607527216,0.3544962992339347,-0.03368100167414962,0.05518090543470405,0.0038878849749384285,1.0,7.915097466337784e-10,3.5632297112897504e-10,5.985384854070981e-15,,,,,,,
2402,0.95,32.0,1.0986122886681098,False,1.726096287989004,1.7268855913041414,8.073275507998364,0.07394129020497914,0.35434208917544796,-0.034063756205345706,0.056284131962786005,0.003996536684848198,1.0,5.946252379374073e-10,3.6410785497764664e-10,7.936522532919765e-15,,,,,,,
2402,0.95,32.0,2.0,False,1.6605592583657396,1.6606032996873519,8.634887091302826,0.07087490287624684,0.3457039356226155,-0.034070274919916585,0.05667341345077158,0.004081395774592336,1.0,4.796985031418899e-10,2.6496027594191673e-10,1.3298390166838203e-14,,,,,,,
2402,0.95,32.0,4.0,False,1.5298759681415133,1.528465417436406,11.169246961069408,0.061302926489065816,0.3182008713633647,-0.03286164973242944,0.055169389894539574,0.003981289899354882,1.0,9.70938440758573e-10,2.0609808304428157e-10,9.072386938924204e-15,,,,,,,
